protein,sto_files,hmm_files
EscJ,EscJ_aligned.sto,EscJ_aligned.hmm
flhB,flhB_aligned.sto,flhB_aligned.hmm
FliF,FliF_aligned.sto,FliF_aligned.hmm
SpoIIIAH,SpoIIIAH_aligned.sto,SpoIIIAH_aligned.hmm
SpaS,SpaS_aligned.sto,SpaS_aligned.hmm
MxiJ,MxiJ_aligned.sto,MxiJ_aligned.hmm
YscJ,YscJ_aligned.sto,YscJ_aligned.hmm
SpoIIIAF,SpoIIIAF_aligned.sto,SpoIIIAF_aligned.hmm
PrgK,PrgK_aligned.sto,PrgK_aligned.hmm
SpoIIIAG,SpoIIIAG_aligned.sto,SpoIIIAG_aligned.hmm
SctJ,SctJ_aligned.sto,SctJ_aligned.hmm